observation_date,DDDM02VNA156NWDB
2008-01-01,10.24070
2009-01-01,31.13680
2010-01-01,20.96240
2011-01-01,6.67687
2012-01-01,6.67687
2013-01-01,6.53430
2014-01-01,12.79210
2015-01-01,9.92486
2016-01-01,10.50740
2017-01-01,15.74370
2018-01-01,17.10510
2019-01-01,9.55222
2020-01-01,16.56520
